Name,AtEventIndex,EdgeCount,EdgeDelete,Latency,AlgTimeSinceLast,CurrentRuntime
0,19383661,17556,19366106,84014940,1819481,45747817360
0,19417184,17360,19399825,74454751,1462164,45898115016
0,19448744,14394,19434351,74257615,1364139,46038822538
0,19479822,17612,19462211,69235962,1705182,46180505833
0,19509913,14079,19495835,70917501,1309086,46314490061
0,19537891,14925,19522967,58570197,1250057,46449455819
0,19565459,13448,19552012,63725068,1247203,46571972801
0,19594544,15562,19578983,52797064,1284650,46699877085
0,19618502,11459,19607044,62070356,1037871,46816902112
0,19644047,12509,19631539,49289190,1242943,46943405444
0,19667469,11067,19656403,146011988,1037702,47058933403
0,19687789,9989,19677801,47155176,963495,47270532584
0,19719229,17617,19701613,73918459,1482650,47386124768
0,19746797,13793,19733005,65802714,1193752,47524088516
0,19772016,12865,19759152,66295309,1098942,47653841976
0,19801582,16861,19784722,62927455,1272068,47784502887
0,19839759,18074,19821686,81387153,1653761,47912262974
0,19874589,17682,19856908,86437813,1493007,48061726853
0,19905895,14576,19891320,71919280,1370728,48214192542
0,19932725,13239,19919487,74646866,1182049,48354487450
0,19944963,6314,19938650,28574369,558268,48493165031
0,19960147,7218,19952930,29741700,683694,48585838131
0,19975740,7887,19967854,34258546,707119,48679961798
0,20000781,16052,19984730,40966927,1179381,48783250218
0,20029210,12420,20016791,63871962,1248921,48889761635
0,20053152,11987,20041166,55163333,1051949,49017737454
0,20077886,12588,20065299,62066905,1119208,49138478986
0,20101944,11864,20090081,43217513,1048077,49265173290
0,20124850,11489,20113362,39757427,1115851,49374276363
0,20147745,11083,20136663,40704457,994358,49478375336
0,20169598,10794,20158805,37483831,966404,49583451650
0,20190830,10677,20180154,39333563,996706,49685341561
0,20211124,9749,20201376,38724206,902427,49789416711
0,20230904,9884,20221021,32593714,872274,49892297299
0,20251033,10056,20240978,30500945,955093,49989559377
0,20274282,11729,20262554,35526308,1026350,50084889133
0,20294747,10057,20284691,33698514,925204,50186373047
0,20315630,10056,20305575,33759988,977108,50284902618
0,20332826,8658,20324169,29772229,781453,50384176890
0,20348742,7571,20341172,23625826,804761,50479405402
0,20362327,6093,20356235,21145273,628658,50567602608
0,20375516,6735,20368782,21340699,664352,50653824507
0,20389204,6852,20382353,24451872,619764,50739659732
0,20403245,7163,20396083,21608640,662070,50829186492
0,20417147,7416,20409732,22304130,646924,50915860345
0,20432387,7846,20424542,20827721,706044,51003531381
0,20446795,6820,20439976,23382524,670207,51088814966
0,20458654,5213,20453442,22540814,540707,51183466903
0,20472880,7473,20465408,31969024,630283,51270744712
0,20490122,8503,20481620,31569581,774805,51366926777
0,20507907,8251,20499657,33685573,814070,51462787050
0,20525956,9248,20516709,32666777,819500,51561395280
0,20542398,8294,20534105,28769162,774025,51658871451
0,20561894,9971,20551924,40620485,886916,51752157744
0,20581991,10390,20571602,34602489,875990,51858588012
0,20603287,10768,20592520,38975839,1009900,51957793762
0,20626107,12366,20613742,40189335,1035300,52061566934
0,20654348,14574,20639775,45535528,1315968,52167306257
0,20684371,14607,20669765,54504386,1409181,52278022416
0,20714135,14961,20699175,57919290,1349378,52397745523
0,20750714,15150,20735565,79306835,1639555,52524554784
0,20781606,15077,20766530,52429212,1372050,52670553359
0,20809480,13802,20795679,52591993,1254388,52788113027
0,20836793,14247,20822547,45381458,1209456,52905548723
0,20864854,13839,20851016,54274907,1361815,53018285641
0,20888607,10825,20877783,44065548,1076188,53141816706
0,20912208,12330,20899879,130131341,1034446,53258856077
0,20938191,11617,20926575,51350845,1160498,53454275257
0,20960971,10877,20950095,45769602,1012647,53570724745
0,20982046,10914,20971133,41646686,962246,53681662877
0,21009932,14168,20995765,50935862,1343220,53788191434
0,21037692,13732,21023961,88778601,1237766,53905787471
0,21066339,13908,21052432,51988067,1262906,54066234613
0,21096824,15634,21081191,55139991,1478509,54183886015
0,21125691,14135,21111557,52004575,1282367,54304530480
0,21153358,14107,21139252,58022310,1213725,54421926564
0,21184542,15683,21168860,58471898,1464246,54546346369
0,21214065,14748,21199318,43970124,1388853,54683249663
0,21240501,13443,21227059,41649390,1184792,54792447706
0,21268095,13772,21254324,47234615,1348015,54903217628
0,21296413,14367,21282047,47473288,1287782,55021869997
0,21333621,20838,21312784,60234261,1606697,55135191351
0,21372540,19241,21353300,69774087,1716041,55263299442
0,21406865,16174,21390692,64325230,1535025,55399670351
0,21438689,17073,21421617,53522638,1511100,55530488037
0,21477426,20309,21457118,69717371,1709527,55650378715
0,21517638,20245,21497394,80848177,1750225,55787726446
0,21553535,17617,21535919,66803275,1731640,55934565701
0,21591204,19323,21571882,70378261,1625752,56068452022
0,21629001,18369,21610633,61448293,1809968,56205951335
0,21664150,16531,21647620,74107085,1558914,56335461442
0,21699650,18287,21681364,67802648,1768516,56475640349
0,21733354,16776,21716579,67493169,1620764,56610184001
0,21770646,18571,21752076,70711179,2141618,56752136500
0,21807347,17773,21789575,67848533,1969264,56894043422
0,21842974,17743,21825232,61904475,1754395,57030830435
0,21880609,18766,21861844,55012279,1830485,57158992837
0,21915467,16469,21898999,74442501,1819387,57289863003
0,21945628,14806,21930823,47536341,1482668,57441410259
0,21973319,13393,21959927,45105494,1412540,57555249173
0,22002221,14883,21987339,46328045,1503470,57668346392
0,22028289,12275,22016015,40478381,1414039,57780505613
0,22053781,12640,22041142,40280715,1343822,57886488153
0,22082069,14974,22067096,38423550,1418456,57992467838
0,22109552,13165,22096388,44371383,1453791,58096910748
0,22136832,13869,22122964,41401226,1413838,58207288138
0,22168365,16880,22151486,43502114,1612531,58314924856
0,22199242,14999,22184244,47015764,1589785,58424340832
0,22229196,15167,22214030,47005870,1464469,58537209498
0,22260250,15531,22244720,46327806,1601520,58650432898
0,22290104,15393,22274712,48201785,1555112,58763901855
