ts,date,cumRuntimeMS,algTimeSinceLastMS,qLatencyMS,allVC,realVC,EC,pctSame,matchedVertices,same,different,colourCount
2005-08-15T15:00:00-07:00,2005-08-15,5704,463,8,1421871,981420,22781669,93.119,925473,861792,63681
2005-09-16T15:00:00-07:00,2005-09-16,6169,461,11,1450789,1030650,24656059,93.483,981420,917462,63958
2005-10-18T15:00:00-07:00,2005-10-18,6647,472,11,1480731,1077393,26551897,94.058,1030650,969411,61239
2005-11-19T15:00:00-08:00,2005-11-19,7159,506,10,1516442,1123536,28600725,93.661,1077393,1009096,68297
2005-12-21T15:00:00-08:00,2005-12-21,7725,558,7,1550981,1172316,30859125,93.203,1123536,1047172,76364
2006-01-22T15:00:00-08:00,2006-01-22,8367,650,19,1589333,1229055,33457571,92.526,1172316,1084693,87623
2006-02-23T15:00:00-08:00,2006-02-23,9038,661,17,1626191,1283544,36140241,92.753,1229055,1139987,89068
2006-03-28T14:00:00-08:00,2006-03-28,9750,723,35,1664834,1336675,38999903,92.616,1283544,1188769,94775
2006-04-29T15:00:00-07:00,2006-04-29,10464,696,24,1701647,1386639,41819793,93.015,1336675,1243303,93372
2006-05-31T15:00:00-07:00,2006-05-31,11238,796,54,1736752,1440305,44923863,93.052,1386639,1290290,96349
2006-07-02T15:00:00-07:00,2006-07-02,12029,776,43,1768916,1491286,48082817,92.839,1440305,1337162,103143
2006-08-03T15:00:00-07:00,2006-08-03,12872,843,53,1802934,1545556,51466437,93.000,1491286,1386898,104388
2006-09-04T15:00:00-07:00,2006-09-04,13800,905,37,1837735,1599743,55163361,92.530,1545556,1430096,115460
2006-10-06T15:00:00-07:00,2006-10-06,14639,851,57,1867320,1645643,58517353,93.539,1599743,1496385,103358
2006-11-07T15:00:00-08:00,2006-11-07,15483,877,96,1870709,1691256,61919231,93.075,1645643,1531680,113963
2006-12-09T15:00:00-08:00,2006-12-09,16377,861,69,1870709,1732500,65477341,93.526,1691256,1581771,109485
2007-01-10T15:00:00-08:00,2007-01-10,17298,936,88,1870709,1770310,69192709,93.614,1732500,1621862,110638
2007-02-11T15:00:00-08:00,2007-02-11,18306,1020,105,1870709,1810002,73188445,93.365,1770310,1652855,117455
2007-03-15T16:00:00-07:00,2007-03-15,19307,1034,144,1870709,1847221,77206549,93.306,1810002,1688833,121169
