ts,date,cumRuntimeMS,algTimeSinceLastMS,qLatencyMS,allVC,realVC,EC,pctSame,matchedVertices,same,different,colourCount
2001-02-19T15:00:00-08:00,2001-02-19,3,6,3,18762,2,1,NaN,0,0,0
2001-06-28T15:00:00-07:00,2001-06-28,7,1,2,24928,859,1461,100.000,2,2,0
2001-11-03T15:00:00-08:00,2001-11-03,10,2,3,37460,4893,11817,94.645,859,813,46
2002-03-11T15:00:00-08:00,2002-03-11,57,47,6,101573,44168,296541,56.366,4893,2758,2135
2002-07-18T15:00:00-07:00,2002-07-18,89,33,9,134145,67713,508705,83.006,44168,36662,7506
2002-11-23T15:00:00-08:00,2002-11-23,226,135,9,316343,148401,1343041,78.062,67713,52858,14855
2003-04-01T14:00:00-08:00,2003-04-01,351,126,13,338697,197176,2087083,86.774,148401,128773,19628
2003-08-07T15:00:00-07:00,2003-08-07,499,139,9,530687,256079,2983125,86.231,197176,170027,27149
2003-12-13T15:00:00-08:00,2003-12-13,692,187,8,532665,324100,4101845,86.019,256079,220276,35803
2004-04-20T15:00:00-07:00,2004-04-20,1035,346,15,803982,435051,6180567,82.801,324100,268357,55743
2004-08-26T15:00:00-07:00,2004-08-26,1522,492,28,883962,561633,9128517,82.363,435051,358321,76730
2005-01-01T15:00:00-08:00,2005-01-01,2218,680,21,1230359,696324,13304079,82.045,561633,460793,100840
2005-05-10T15:00:00-07:00,2005-05-10,2968,776,60,1274241,837220,17766375,82.553,696324,574833,121491
2005-09-15T15:00:00-07:00,2005-09-15,4106,1116,47,1450039,1029581,24603441,79.869,837220,668677,168543
2006-01-21T15:00:00-08:00,2006-01-21,5563,1464,65,1587873,1227534,33373781,79.269,1029581,816142,213439
2006-05-30T15:00:00-07:00,2006-05-30,7476,1976,140,1735468,1438807,44799535,77.884,1227534,956055,271479
2006-10-05T15:00:00-07:00,2006-10-05,9738,2298,188,1866080,1644143,58415561,78.031,1438807,1122717,316090
2007-02-10T15:00:00-08:00,2007-02-10,12176,2505,261,1870709,1808792,73056519,79.502,1644143,1307120,337023
