Name,AtEventIndex,EdgeCount,EdgeDelete,Latency,AlgTimeSinceLast,CurrentRuntime
0,0,1,0,4476849,2921304,2959018
0,6,7,0,293614,38682,8508134
0,89,90,0,45658,46338,9273454
0,510,511,0,69176,42747,9809643
0,1853,1854,0,200019,82610,10265813
0,4165,4166,0,358182,134468,11725214
0,8226,8227,0,528694,269174,13786483
0,12143,12144,0,677880,196867,14885844
0,17507,17508,0,646519,311645,19261073
0,22985,22986,0,764145,322213,20533177
0,36667,36668,0,5499560,939495,22707927
0,111327,111328,0,14778348,24729604,53391846
0,261776,261777,0,56555882,14114020,82988497
0,400033,400034,0,82923859,31553707,172322409
0,516183,516184,0,58027206,7899028,265079197
0,609891,609892,0,27913880,5039730,329451439
0,692800,692801,0,20885216,3937755,362575775
0,764985,764986,0,113922177,4536039,389554067
0,826518,826519,0,8236355,2528182,507311301
0,883220,883221,0,7572408,2347287,518965347
0,935708,935709,0,103376403,3151522,530942102
0,980038,980039,0,29016800,5148584,641663500
0,1020921,1020922,0,7772336,1772482,673704017
0,1075937,1075938,0,11418688,2981077,685732118
0,1120538,1120539,0,9276205,2718582,702002896
0,1177424,1177425,0,11796587,3173453,716010100
0,1231862,1231863,0,14419402,3401213,733142676
0,1276527,1276528,0,8058202,2218676,751330088
0,1331625,1331626,0,123952436,3590375,764129210
0,1387246,1387247,0,21220898,3285127,892946635
0,1445310,1445311,0,20245483,2927763,919324900
0,1497649,1497650,0,17705295,2930332,944657510
0,1552411,1552412,0,23363936,3568949,968317269
0,1600404,1600405,0,15740053,2604376,995752425
0,1647886,1647887,0,10735060,2236329,1015519281
0,1700715,1700716,0,13524386,2733454,1030350195
0,1778462,1778463,0,17120669,3515163,1048968489
0,1837880,1837881,0,15746913,2674054,1070227536
0,1883297,1883298,0,12313151,2322065,1089776681
0,1946525,1946526,0,20253035,3646171,1107912492
0,2021039,2021040,0,19250316,4181373,1134634248
0,2177797,2177798,0,77363236,8491490,1164346034
0,2423736,2423737,0,64801057,10542371,1267115239
0,2711328,2711329,0,64776273,31707324,1380414209
0,3237379,3237380,0,143201416,78551596,1548539086
0,4070305,4070306,0,228898962,38843729,1752265313
0,5060277,5060278,0,274523803,45910372,2056768913
0,5917370,5917371,0,205625557,39374264,2406854107
0,6721899,6721900,0,316051051,41538265,2697271427
0,7495619,7495620,0,208906960,36956167,3098525850
0,8227779,8227780,0,281174784,32829893,3390476333
0,8897345,8897346,0,220744004,27926039,3755575315
0,9600208,9600209,0,245894429,30533121,4070928970
0,10311315,10311316,0,241526885,32632783,4414616437
0,10973159,10973160,0,238340582,28512606,4760225269
0,11642772,11642773,0,222574834,32954179,5104125168
0,12271376,12271377,0,239308315,28969819,5444024224
0,12805409,12805410,0,163334261,25902460,5794083624
0,13397984,13397985,0,164375858,25968118,6069437023
0,13978554,13978555,0,209013772,38838703,6366327823
0,14673904,14673905,0,233288005,34036228,6706967211
0,15298019,15298020,0,152705203,26279265,7071190564
0,15967506,15967507,0,173561133,27587497,7351225582
0,16912900,16912901,0,242338645,38312218,7670477961
0,18024937,18024938,0,244772715,177049435,8201389859
0,19609017,19609018,0,423038745,73913511,8635100011
0,21156185,21156186,0,480642265,151607184,9352549832
0,22956469,22956470,0,460215238,223730745,10217847814
0,24633520,24633521,0,513734828,182816630,11026725965
0,26393379,26393380,0,503563016,172955955,11897600717
0,28097396,28097397,0,591443431,165124808,12755810496
0,29539744,29539745,0,440756678,163164395,13717013548
0,30897338,30897339,0,459990455,86858564,14431304439
0,32120127,32120128,0,440154602,60025387,15145166557
0,33274675,33274676,0,705606636,47453345,15889430580
0,34480312,34480313,0,475676214,52031373,16923669314
0,35770485,35770486,0,598580627,67515835,17751549643
0,37030233,37030234,0,663285867,121263871,18816724123
0,38177651,38177652,0,436026043,47467855,19817808859
0,39265375,39265376,0,478788571,50323681,20564056089
0,40285152,40285153,0,341777581,41281228,21366507961
0,41193760,41193761,0,453507381,52712109,22061011702
0,42136984,42136985,0,224332919,30830149,22934848005
0,43020158,43020159,0,333861754,32846540,23507426567
0,43827884,43827885,0,237819848,26348079,24149521921
0,44589460,44589461,0,287993214,34012166,24768498672
0,45338604,45338605,0,251068191,39989150,25476171303
0,46040400,46040401,0,200252350,31024878,26096929615
0,46709044,46709045,0,151470414,28177861,26677042871
0,47373461,47373462,0,160849120,21056905,27108668142
0,47967364,47967365,0,134964570,19094500,27574483520
0,48427185,48427186,0,103328400,14147035,28032186933
0,48827896,48827897,0,87192818,11784194,28471496684
0,49274027,49274028,0,90473933,13187784,28840213721
0,49719419,49719420,0,130514737,14823193,29236297718
0,50154007,50154008,0,101876028,13899915,29687042948
0,50549749,50549750,0,82758412,11927746,30153504105
0,50914464,50914465,0,96517735,11812070,30559093357
0,51258440,51258441,0,104140193,16794401,31083605231
0,51574450,51574451,0,84497644,14848524,31707814589
0,51894377,51894378,0,87937266,12521839,32204482322
0,52195928,52195929,0,84611553,13831178,32704647375
0,52516900,52516901,0,102081009,15477143,33177708463
0,52868651,52868652,0,138515699,14357011,33642482590
0,53186302,53186303,0,111065652,14750948,34231614266
0,53507951,53507952,0,91275473,12371105,34776832938
0,53826479,53826480,0,88154196,11994317,35280558247
0,54178064,54178065,0,108468649,13810966,35808789162
0,54609929,54609930,0,115403577,16459697,36376646699
0,55026170,55026171,0,123784999,16543787,36970212486
0,55402934,55402935,0,118258434,16162007,37635160934
0,55868744,55868745,0,116167927,19505804,38237683874
0,56309403,56309404,0,131381320,17650905,38866751930
0,56723647,56723648,0,266721139,17808398,39481420254
0,57194365,57194366,0,216037346,21685614,40195461866
0,57602542,57602543,0,130338953,17480780,40886661296
0,58055337,58055338,0,252356062,17473050,41506985576
0,58493630,58493631,0,160830651,17890939,42250359316
0,58953379,58953380,0,91776656,18783257,43191731355
0,59377642,59377643,0,145214653,18372355,43745722488
0,59719908,59719909,0,94360908,13468054,44371495560
0,59996790,59996791,0,81788877,14304176,44895862633
0,60272851,60272852,0,74545275,10291880,45432795542
0,60538092,60538093,0,91734104,10209984,45938356585
